tu,nghia
Phlebotomist, Người lấy mẫu máu
Dermatologist, Bác sĩ da liễu
Anesthetist, Bác sĩ gây tê
Cardiologist, Bác sĩ tim mạch
Neurologist, Bác sĩ thần kinh học
Radiologist, Bác sĩ chẩn đoán hình ảnh
Gynecologist, Bác sĩ phụ khoa
Pediatrician, Bác sĩ nhi khoa
Urologist, Bác sĩ tiết niệu
Orthopedic surgeon, Bác sĩ phẫu thuật chỉnh hình
Pathologist, Bác sĩ dịch tễ học
Internist, Bác sĩ nội tiết
Oncologist, Bác sĩ ung thư học
Ophthalmologist, Bác sĩ mắt học
Surgeon, Bác sĩ phẫu thuật
Psychiatrist, Bác sĩ tâm thần học
Radiographer, Người làm hình ảnh y học
Pharmacist, Dược sĩ
Nurse, Y tá
Medical student, Sinh viên y học
Medical laboratory technician, Kỹ thuật viên phòng thí nghiệm y học
Clinical psychologist, Tâm lý học thực hành
Medical examiner, Nhà nghiên cứu y học
Orthodontist, Bác sĩ chỉnh nha
Podiatrist, Bác sĩ chuyên khoa bàn chân
Gastroenterologist, Bác sĩ tiêu hóa
Radiologic technologist, Kỹ thuật viên chẩn đoán hình ảnh
Epidemiologist, Nhà dịch tễ học
Nurse practitioner, Y tá thực hành
Optometrist, Bác sĩ thị lực học
Allergist, Bác sĩ dị ứng học
Medical physicist, Nhà vật lý y học
Hematologist, Bác sĩ huyết học
Forensic pathologist, Bác sĩ pháp y
Cardiac surgeon, Bác sĩ phẫu thuật tim mạch
Endocrinologist, Bác sĩ tuyến nội tiết
Nephrologist, Bác sĩ thận học
Obstetrician, Bác sĩ sản khoa
Rheumatologist, Bác sĩ viêm khớp
Pulmonologist, Bác sĩ phổi học
Oncology nurse, Y tá chuyên khoa ung thư
Anesthesiologist, Bác sĩ gây mê
Neonatologist, Bác sĩ nhiem vú sơ sinh
Medical researcher, Nhà nghiên cứu y học
Vascular surgeon, Bác sĩ phẫu thuật mạch máu
Infectious disease specialist, Bác sĩ chuyên khoa bệnh truyền nhiễm
Clinical pharmacist, Dược sĩ thực hành
Nurse anesthetist, Y tá gây mê
Genetic counselor, Chuyên gia tư vấn di truyền học
Radiologic technologist, Kỹ thuật viên chẩn đoán hình ảnh
Medical transcriptionist, Chuyên viên ghi chép y học
Neurosurgeon, Bác sĩ phẫu thuật thần kinh
Medical ethicist, Đạo đức sư y học
Geriatrician, Bác sĩ chuyên khoa lão khoa
Emergency physician, Bác sĩ cấp cứu
Clinical dietitian, Dinh dưỡng sư thực hành
Otolaryngologist, Bác sĩ tai mũi họng
Medical illustrator, Họa sĩ y học
Clinical microbiologist, Vi khuẩn học thực hành
Pediatric nurse, Y tá nhi khoa
Cardiac nurse, Y tá chuyên khoa tim mạch
Radiologic therapist, Kỹ thuật viên điều trị chẩn đoán hình ảnh
