tu,nghia,chu_de
Phlebotomist, Người lấy mẫu máu,y học
Dermatologist, Bác sĩ da liễu,y học
Anesthetist, Bác sĩ gây tê,y học
Cardiologist, Bác sĩ tim mạch,y học
Neurologist, Bác sĩ thần kinh học,y học
Radiologist, Bác sĩ chẩn đoán hình ảnh,y học
Gynecologist, Bác sĩ phụ khoa,y học
Pediatrician, Bác sĩ nhi khoa,y học
Urologist, Bác sĩ tiết niệu,y học
Orthopedic surgeon, Bác sĩ phẫu thuật chỉnh hình,y học
Pathologist, Bác sĩ dịch tễ học,y học
Internist, Bác sĩ nội tiết,y học
Oncologist, Bác sĩ ung thư học,y học
Ophthalmologist, Bác sĩ mắt học,y học
Surgeon, Bác sĩ phẫu thuật,y học
Psychiatrist, Bác sĩ tâm thần học,y học
Radiographer, Người làm hình ảnh y học,y học
Pharmacist, Dược sĩ,y học
Nurse, Y tá,y học
Medical student, Sinh viên y học,y học
Medical laboratory technician, Kỹ thuật viên phòng thí nghiệm y học,y học
Clinical psychologist, Tâm lý học thực hành,y học
Medical examiner, Nhà nghiên cứu y học,y học
Orthodontist, Bác sĩ chỉnh nha,y học
Podiatrist, Bác sĩ chuyên khoa bàn chân,y học
Gastroenterologist, Bác sĩ tiêu hóa,y học
Radiologic technologist, Kỹ thuật viên chẩn đoán hình ảnh,y học
Epidemiologist, Nhà dịch tễ học,y học
Nurse practitioner, Y tá thực hành,y học
Optometrist, Bác sĩ thị lực học,y học
Allergist, Bác sĩ dị ứng học,y học
Medical physicist, Nhà vật lý y học,y học
Hematologist, Bác sĩ huyết học,y học
Forensic pathologist, Bác sĩ pháp y,y học
Cardiac surgeon, Bác sĩ phẫu thuật tim mạch,y học
Endocrinologist, Bác sĩ tuyến nội tiết,y học
Nephrologist, Bác sĩ thận học,y học
Obstetrician, Bác sĩ sản khoa,y học
Rheumatologist, Bác sĩ viêm khớp,y học
Pulmonologist, Bác sĩ phổi học,y học
Oncology nurse, Y tá chuyên khoa ung thư,y học
Anesthesiologist, Bác sĩ gây mê,y học
Neonatologist, Bác sĩ nhiem vú sơ sinh,y học
Medical researcher, Nhà nghiên cứu y học,y học
Vascular surgeon, Bác sĩ phẫu thuật mạch máu,y học
Infectious disease specialist, Bác sĩ chuyên khoa bệnh truyền nhiễm,y học
Clinical pharmacist, Dược sĩ thực hành,y học
Nurse anesthetist, Y tá gây mê,y học
Genetic counselor, Chuyên gia tư vấn di truyền học,y học
Radiologic technologist, Kỹ thuật viên chẩn đoán hình ảnh,y học
Medical transcriptionist, Chuyên viên ghi chép y học,y học
Neurosurgeon, Bác sĩ phẫu thuật thần kinh,y học
Medical ethicist, Đạo đức sư y học,y học
Geriatrician, Bác sĩ chuyên khoa lão khoa,y học
Emergency physician, Bác sĩ cấp cứu,y học
Clinical dietitian, Dinh dưỡng sư thực hành,y học
