tu,nghia,chu_de
Mystery,Bí ẩn,bí ẩn
Detective,Thám tử,bí ẩn
Clue,Dấu vết,bí ẩn
Suspense,Sự căng thẳng,bí ẩn
Investigation,Sự điều tra,bí ẩn
Crime, Tội ác,bí ẩn
Whodunit,Trò chơi xác định thủ phạm,bí ẩn
Conspiracy, Âm mưu,bí ẩn
Enigma,Bài toán khó,bí ẩn
Cryptic, Khó hiểu; đánh đố,bí ẩn
Suspicion,Sự nghi ngờ,bí ẩn
Riddle,Câu đố,bí ẩn
Unsolved,Chưa giải quyết,bí ẩn
Alibi,Lí do không có mặt tại hiện trường,bí ẩn
Witness,Nhân chứng,bí ẩn
Forensic,Tư pháp học,bí ẩn
Hunch,Trực giác,bí ẩn
Sleuth,Người khám phá; điều tra,bí ẩn
Criminal,Ma cà rồng,bí ẩn
Mysterious,Bí ẩn; khó hiểu,bí ẩn
Intrigue,Sự thu hút,bí ẩn
Evidence,Bằng chứng,bí ẩn
Cover-up,Sự che đậy,bí ẩn
Caper,Hành động phi pháp,bí ẩn
Puzzle,Xem xét; đánh giá,bí ẩn
Solve,Giải quyết,bí ẩn
Unexplained,Không giải thích được,bí ẩn
Suspicion,Sự nghi ngờ,bí ẩn
Cryptogram,Mật mã,bí ẩn
Discovery,Sự phát hiện,bí ẩn
Forgery,Sự giả mạo,bí ẩn
Cipher,Mật mã,bí ẩn
Phenomenon,Hiện tượng,bí ẩn
Intriguing,Thú vị; hấp dẫn,bí ẩn
Secret,Sự bí mật,bí ẩn
Solve,Giải quyết,bí ẩn
Enigmatic,Bí ẩn; khó hiểu,bí ẩn
Decipher,Giải mã,bí ẩn
Puzzle solver,Người giải câu đố,bí ẩn
Occult,Thuật bí ẩn,bí ẩn
Ghost, Hồn ma,bí ẩn
Haunting, Sự ám ảnh,bí ẩn
Supernatural, Siêu nhiên,bí ẩn
Alien, Người ngoài hành tinh,bí ẩn
UFO (Unidentified Flying Object), Đối tượng bay không xác định,bí ẩn
Abduction, Bắt cóc,bí ẩn
Paranormal, Siêu phàm,bí ẩn
Conspiracy theory, Lý thuyết âm mưu,bí ẩn
Disappear, Biến mất,bí ẩn
Murder, Án mạng,bí ẩn
Cemetery, Nghĩa trang,bí ẩn
Zombie, Xác sống,bí ẩn
Poltergeist, Hồn ma nghịch ngợm,bí ẩn
Psychic, Người có khả năng tâm linh,bí ẩn
Supernatural being, Thực thể siêu nhiên,bí ẩn
Séance, Cuộc họp tâm linh,bí ẩn
Medium, Trung gian tâm linh,bí ẩn
Apparition, Sự hiện diện đáng sợ,bí ẩn
Possession, Sự sở hữu bởi thực thể siêu nhiên,bí ẩn
Myth, Huyền thoại,bí ẩn
Legend, Truyền thuyết,bí ẩn
Mythical creature, Thực thể huyền bí,bí ẩn
Curse, Lời nguyền,bí ẩn
Haunted house, Nhà ma ám,bí ẩn
Witchcraft, Phép thuật phù thủy,bí ẩn
Occultism, Học thuật về thuật bí ẩn,bí ẩn
Urban legend, Truyền thuyết đô thị,bí ẩn
Supernatural power, Sức mạnh siêu nhiên,bí ẩn
Mystic, Người huyền bí,bí ẩn
Mysticism, Huyền bí học,bí ẩn
Parapsychology, Tâm lý học siêu nhiên,bí ẩn
Ouija board, Bảng Ouija,bí ẩn
Vampire, Ma cà rồng,bí ẩn
Werewolf, Người sói,bí ẩn
Mummy, Xác ướp,bí ẩn
Bermuda Triangle, Tam giác Bermuda,bí ẩn
Conspiracy theory, Lý thuyết âm mưu,bí ẩn
Bizarre, Kỳ dị,bí ẩn
Surreal, Siêu thực,bí ẩn
Supernatural fiction, Tiểu thuyết siêu nhiên,bí ẩn
Occultist, Người nghiên cứu thuật bí ẩn,bí ẩn
Alien abduction, Sự bắt cóc bởi người ngoài hành tinh,bí ẩn
Occult practices, Các thực hành thuật bí ẩn,bí ẩn
Satellite,Vệ tinh,vũ trụ
Gravity,Trọng lực,vũ trụ
Cosmonaut,Phi hành gia (nước Nga),vũ trụ
Lunar,Liên quan đến Mặt Trăng,vũ trụ
Solar System,Hệ Mặt Trời,vũ trụ
Comet,Sao chổi,vũ trụ
Universe,Vũ trụ,vũ trụ
Astronomer,Nhà thiên văn học,vũ trụ
Space Station,Trạm không gian,vũ trụ
Astronomical,Liên quan đến thiên văn học,vũ trụ
Extravehicular Activity (EVA),Hoạt động ngoài trạm không gian,vũ trụ
Star,Ngôi sao,vũ trụ
Interstellar,Liên sao,vũ trụ
Gravity Assist,Hỗ trợ trọng lực,vũ trụ
Space Probe,Tàu thăm dò không gian,vũ trụ
Planet,Hành tinh,vũ trụ
Celestial,Thiên thể,vũ trụ
Space Shuttle,Tàu con thoi,vũ trụ
Crater,Lỗ thủng (trên bề mặt hành tinh),vũ trụ
Black Hole,Lỗ đen,vũ trụ
Meteor,Sao băng,vũ trụ
Exoplanet,Sao ngoại hành tinh,vũ trụ
Observatory,Đài quan sát thiên văn,vũ trụ
Spacewalk,Cuộc đi bộ không gian,vũ trụ
Astral,Liên quan đến vũ trụ,vũ trụ
Space Agency,Cơ quan vũ trụ,vũ trụ
Rocket Science,Khoa học về tên lửa,vũ trụ
Nebula,Mây sao,vũ trụ
Lunar Module,Mô đun hạ cánh Mặt Trăng,vũ trụ
Telescopic,Liên quan đến kính viễn vọng,vũ trụ
Space Race,Cuộc đua vũ trụ,vũ trụ
Gravity Waves,Sóng trọng lực,vũ trụ
Extraterrestrial Life,Sự sống ngoài trái đất,vũ trụ
Solar Eclipse,Nhật thực,vũ trụ
Astronomical Unit (AU),Đơn vị thiên văn,vũ trụ
Space Junk,Rác không gian,vũ trụ
Astronomical Phenomenon,Hiện tượng thiên văn,vũ trụ
Space-Time,Thời gian không gian,vũ trụ
Interplanetary,Liên hành tinh,vũ trụ
Star Cluster,Cụm sao,vũ trụ
Planetary Exploration,Khám phá hành tinh,vũ trụ
Rocket Launch,Phóng tên lửa,vũ trụ
Milky Way,Dải Ngân Hà,vũ trụ
Space Probe,Tàu thăm dò không gian,vũ trụ
Space Travel,Du hành không gian,vũ trụ
Comet Tail,Đuôi sao chổi,vũ trụ
Lunar Rover,Xe thám hiểm Mặt Trăng,vũ trụ
Celestial Body,Thiên thể,vũ trụ
Spacewalk,Cuộc đi bộ không gian,vũ trụ
Cosmology,Nguyên hình vũ trụ,vũ trụ
Rocket Fuel,Nhiên liệu tên lửa,vũ trụ
Space Habitat,Môi trường sống không gian,vũ trụ
Meteor Shower,Mưa sao băng,vũ trụ
Lunar Surface,Bề mặt Mặt Trăng,vũ trụ
Comet Nucleus,Hạt nhân sao chổi,vũ trụ
Star Formation,Hình thành sao,vũ trụ
