tu,nghia
A forensic expert,bác sĩ pháp y
A general practitioner (GP),Bác sĩ đa khoa
A medical intern,bác sĩ thực tập
Allergist/Immunologist,bác sĩ dị ứng/ Miễn dịch học
Anesthesiologist,bác sĩ gây mê
Andrologist,bác sĩ nam khoa
Cardiologist,Bác sĩ tim mạch
Consultant,bác sĩ tham vấn; bác sĩ hội chẩn
Consulting doctor,bác sĩ hội chẩn; bác sĩ tham vấn.
Dentist,Nha sĩ
Dietician,bác sĩ chuyên khoa dinh dưỡng
Doctor/ specialist Pathologist,Bác sĩ bệnh lý học
Duty doctor,bác sĩ trực.
Eastern medical doctor,bác sĩ đông y
Emergency doctor,bác sĩ cấp cứu
Endocrinologist,bác sĩ nội tiết
ENT doctor,bác sĩ tai mũi họng
Epidemiologist,bác sĩ dịch tễ học
Eye/heart/cancer specialist,bác sĩ chuyên khoa mắt/chuyên khoa tim/chuyên khoa ung thư
Family doctor,bác sĩ gia đình
Family practitioner,bác sĩ gia đình
Fertility specialist,bác sĩ chuyên khoa hiếm muộn và vô sinh
Gastroenterologist,bác sĩ chuyên khoa tiêu hóa
General Practitioner (GP),bác sĩ đa khoa
Gynaecologist,bác sĩ phụ khoa
Haematologist,bác sĩ huyết học
Hepatologist,Bác sĩ chuyên khoa gan
Herb doctor = Herbalist,thầy thuốc Đông y
Immunologist,bác sĩ chuyên khoa miễn dịch
Infectious disease specialist,bác sĩ chuyên khoa truyền nhiễm
Internist,bác sĩ khoa nội
Medical examiner,bác sĩ pháp y
Medical practitioner,bác sĩ (Anh)
Nephrologist,Bác sĩ chuyên về thận
Neurologist,bác sĩ chuyên khoa thần kinh
Obstetrician,Bác sĩ sản khoa
Oncologist,bác sĩ chuyên khoa ung thư
Ophthalmologist,Bác sĩ mắt
Oral maxillofacial surgeon,bác sĩ ngoại răng hàm mặt
Orderly,hộ lý
Orthopedist,Bác sĩ ngoại chỉnh hình
Otolaryngologist,Bác sĩ tai mũi họng
Pediatrician,bác sĩ nhi khoa
Pathologist,bác sĩ bệnh lý học
Pediatrician,bác sĩ nhi khoa
Pharmacist,Dược sĩ
Podiatrist,bác sĩ phẫu thuật
Practitioner,người hành nghề y tế
Proctologist,bác sĩ chuyên khoa hậu môn – trực tràng
Psychiatrist,Bác sĩ tâm lý
Pulmonologist,Bác sĩ chuyên về phổi
Quack,"thầy lang, lang băm, lang vườn"
Radiologist,Bác sĩ chuyên về X quang
Resident physician,bác sĩ nội trú
Rheumatologist,bác sĩ chuyên khoa bệnh thấp khớp
Specialist,bác sĩ chuyên khoa
Surgeon,bác sĩ khoa ngoại
Thoracic surgeon,bác sĩ ngoại lồng ngực
Traumatologist,bác sĩ chuyên khoa chấn thương
Urologist,Bác sĩ chuyên khoa niệu
Vet/veterinarian,bác sĩ thú y
